Metadata_Treatment,Metadata_reference_index,mean_average_precision,indices,p_value,corrected_p_value,below_p,below_corrected_p,-log10(p-value)
BRD-U00145679-001-01-9_DMSO,-1,0.5801888851264712,"[34, 52, 100, 133, 229, 285, 303, 308, 355, 390, 426, 452, 564, 600, 633, 665, 711, 778, 805, 858, 892, 937, 962, 967]",2.999997000003e-06,2.3999976000024e-05,True,True,4.619789192582659
BRD-U00145680-001-01-9_DMSO,-1,0.21086730643363627,"[33, 55, 123, 164, 245, 268, 302, 346, 394, 414, 434, 464, 555, 581, 615, 694, 721, 783, 796, 876, 909, 960, 975, 998]",0.5420214579785421,0.5420214579785421,False,False,0.26598351992433344
BRD-U00145681-001-01-9_DMSO,-1,0.3227666119255326,"[18, 53, 83, 96, 227, 278, 314, 341, 366, 438, 445, 508, 550, 628, 643, 697, 809, 821, 853, 860, 936, 991, 1023, 1039]",0.034004965995034005,0.07772563656007772,True,False,1.1094357124703982
BRD-U00146215-001-01-9_DMSO,-1,0.27953370926879323,"[29, 45, 104, 159, 210, 225, 259, 305, 356, 404, 477, 493, 626, 671, 699, 790, 808, 822, 835, 942, 950, 992, 1022]",0.09832390167609832,0.17385754042817386,False,False,0.7598064686544034
BRD-U00146216-001-01-9_DMSO,-1,0.27220846638487406,"[51, 88, 115, 175, 223, 257, 276, 349, 370, 425, 476, 488, 588, 598, 653, 688, 703, 737, 855, 861, 916, 946, 1010, 1017]",0.14041885958114042,0.19812913520419814,False,False,0.70305165607162
BRD-U00146217-001-01-9_DMSO,-1,0.31161300512353796,"[93, 119, 148, 155, 182, 281, 301, 321, 391, 403, 449, 517, 543, 575, 641, 678, 739, 780, 838, 862, 900, 919, 1016, 1045]",0.047222952777047224,0.09855224927383768,True,False,1.0063334592986066
BRD-U00146218-001-01-9_DMSO,-1,0.2717311175299742,"[28, 54, 107, 163, 192, 216, 265, 293, 361, 395, 427, 526, 530, 560, 604, 618, 750, 799, 814, 866, 899, 922, 938, 981]",0.14217085782914218,0.19812913520419814,False,False,0.70305165607162
BRD-U00146219-001-01-9_DMSO,-1,0.3141803858665024,"[13, 59, 71, 97, 183, 238, 248, 340, 389, 451, 499, 511, 573, 599, 648, 702, 706, 818, 849, 857, 893, 941, 994, 1030]",0.043741956258043745,0.09543699547209544,True,False,1.0202832414922511
BRD-U00146220-001-01-9_DMSO,-1,0.624859447203506,"[4, 72, 111, 168, 184, 218, 255, 304, 393, 437, 489, 513, 561, 587, 646, 661, 708, 771, 807, 819, 915, 957, 977, 1047]",1.999998000002e-06,1.91999808000192e-05,True,True,4.716699205590715
BRD-U00146221-001-01-9_DMSO,-1,0.37292061243335656,"[73, 125, 138, 156, 232, 286, 325, 350, 420, 467, 494, 519, 536, 583, 634, 669, 704, 730, 761, 788, 879, 926, 1028, 1053]",0.00676999323000677,0.02030997969002031,True,True,1.692290510889458
Bexarotene_DMSO,-1,0.44461415789859005,"[19, 87, 94, 128, 180, 231, 244, 311, 388, 407, 436, 500, 602, 623, 638, 686, 733, 756, 816, 850, 921, 973, 1024, 1054]",0.000506999493000507,0.0024335975664024337,True,True,2.6137512375853413
Bezafibrate_DMSO,-1,0.25118599546251785,"[41, 44, 108, 118, 191, 226, 290, 342, 362, 411, 447, 503, 551, 584, 614, 687, 728, 782, 825, 873, 905, 953, 986, 993]",0.23493076506923494,0.2684923029362685,False,False,0.5710681600211113
Bicalutamide_DMSO,-1,0.2587613404801002,"[14, 23, 126, 135, 194, 298, 315, 337, 369, 375, 461, 498, 541, 617, 644, 690, 762, 772, 845, 869, 881, 913, 963, 1042]",0.19629380370619628,0.24159237379224158,False,False,0.6169167789591057
Biperiden_DMSO,-1,0.3583959297089867,"[8, 106, 140, 169, 193, 211, 220, 289, 429, 455, 463, 522, 562, 619, 639, 689, 767, 770, 839, 875, 939, 965, 970, 997]",0.011011988988011012,0.03109267478967815,True,True,1.5073419155756589
Cabozantinib_DMSO,-1,0.3967868599759798,"[38, 65, 114, 173, 240, 270, 317, 339, 398, 433, 465, 512, 546, 606, 645, 670, 712, 744, 812, 836, 896, 995, 1029, 1035]",0.002984997015002985,0.009551990448009553,True,True,2.019906120508971
Diflunisal_DMSO,-1,0.2651003743125177,"[24, 75, 113, 150, 236, 242, 283, 323, 378, 405, 457, 510, 528, 585, 631, 658, 709, 745, 781, 795, 903, 952, 984, 1004]",0.1678988321011679,0.2178147011042178,False,False,0.6619128114811867
Diphenhydramine_DMSO,-1,0.2550922244189174,"[6, 68, 98, 172, 176, 219, 239, 306, 365, 385, 412, 481, 537, 578, 660, 684, 717, 742, 797, 833, 931, 982, 990, 1036]",0.21417378582621419,0.25391038023596124,False,False,0.5953195441556237
Donepezil_DMSO,-1,0.347710684081265,"[37, 47, 110, 143, 222, 267, 299, 329, 364, 409, 440, 491, 531, 632, 651, 685, 760, 775, 794, 867, 897, 901, 929, 979]",0.01553998446001554,0.03925890810951294,True,True,1.4060617834066111
Erlotinib_DMSO,-1,0.6411157611121155,"[36, 90, 130, 154, 217, 273, 294, 344, 387, 401, 458, 483, 635, 647, 663, 681, 729, 753, 769, 832, 943, 955, 988, 1003]",1.999998000002e-06,1.91999808000192e-05,True,True,4.716699205590715
Fenoterol_DMSO,-1,0.27000038642773877,"[39, 63, 66, 158, 196, 209, 280, 338, 352, 423, 456, 473, 557, 586, 595, 627, 720, 731, 774, 806, 894, 910, 924, 985]",0.1485968514031486,0.19812913520419814,False,False,0.70305165607162
Flutamide_DMSO,-1,0.2712809310926021,"[22, 48, 127, 157, 188, 213, 250, 351, 371, 380, 413, 454, 529, 596, 642, 696, 714, 726, 789, 831, 949, 983, 1021, 1046]",0.14384785615214385,0.19812913520419814,False,False,0.70305165607162
Ketoprofen_DMSO,-1,0.22095047616239719,"[21, 80, 147, 161, 185, 201, 243, 327, 382, 422, 490, 520, 533, 566, 591, 677, 705, 810, 828, 841, 882, 906, 978, 1052]",0.4500545499454501,0.490968599940491,False,False,0.30894628243638433
Loratadine_DMSO,-1,0.3517600440747744,"[2, 76, 117, 167, 189, 202, 260, 324, 428, 466, 496, 523, 547, 571, 608, 622, 738, 757, 800, 878, 891, 928, 1006, 1040]",0.013610986389013612,0.036295963704036295,True,True,1.4401416680363046
OASIS084_DMSO,-1,0.28455746026261264,"[17, 30, 81, 121, 241, 249, 310, 333, 367, 417, 424, 504, 558, 611, 625, 662, 722, 765, 798, 813, 917, 969, 1002, 1015]",0.10141689858310142,0.17385754042817386,False,False,0.7598064686544034
OASIS1115_DMSO,-1,0.27238986916437896,"[56, 86, 109, 142, 178, 208, 224, 274, 354, 410, 430, 469, 549, 601, 672, 692, 743, 755, 787, 842, 885, 923, 956, 1049]",0.13973286026713974,0.19812913520419814,False,False,0.70305165607162
OASIS1265_DMSO,-1,0.23896440362665014,"[85, 116, 149, 166, 199, 261, 271, 332, 421, 482, 502, 509, 542, 572, 620, 649, 725, 754, 846, 859, 884, 966, 1009, 1027]",0.31015668984331013,0.3462214212204392,False,False,0.46064606520115714
OASIS1283_DMSO,-1,0.27013403239191014,"[40, 57, 82, 89, 228, 275, 292, 335, 399, 442, 484, 527, 567, 597, 654, 700, 719, 747, 786, 823, 886, 912, 971, 1000]",0.14808585191414808,0.19812913520419814,False,False,0.70305165607162
OASIS1553_DMSO,-1,0.2894872807343069,"[10, 43, 62, 102, 214, 247, 316, 330, 396, 446, 492, 507, 569, 603, 650, 676, 763, 815, 851, 863, 927, 980, 1007, 1037]",0.08882891117108883,0.17385754042817386,False,False,0.7598064686544034
OASIS797_DMSO,-1,0.28614340425829216,"[42, 49, 134, 170, 203, 234, 309, 348, 373, 384, 474, 486, 568, 580, 593, 701, 736, 766, 811, 848, 911, 972, 1019, 1034]",0.0971979028020972,0.17385754042817386,False,False,0.7598064686544034
OASIS982_DMSO,-1,0.21145518477496536,"[0, 31, 131, 144, 190, 284, 297, 336, 359, 443, 478, 514, 570, 590, 673, 691, 715, 792, 844, 870, 887, 961, 989, 1031]",0.5364864635135365,0.5420214579785421,False,False,0.26598351992433344
Paliperidone_DMSO,-1,0.2131189909343779,"[9, 67, 101, 171, 179, 205, 262, 300, 363, 432, 480, 516, 554, 637, 679, 682, 768, 779, 824, 864, 908, 974, 1026, 1044]",0.5207774792225208,0.5420214579785421,False,False,0.26598351992433344
Pazopanib_DMSO,-1,0.5428082035599878,"[20, 35, 46, 74, 200, 258, 277, 291, 374, 415, 471, 497, 538, 553, 630, 655, 734, 748, 827, 856, 907, 940, 948, 1005]",5.999994000006e-06,4.114281600004114e-05,True,True,4.385705986549291
Phenylephrine_DMSO,-1,0.2706398381091596,"[1, 105, 120, 146, 187, 198, 279, 331, 358, 381, 406, 459, 545, 565, 624, 680, 713, 803, 852, 871, 914, 932, 945, 1038]",0.1461908538091462,0.19812913520419814,False,False,0.70305165607162
Pindolol_DMSO,-1,0.2876972155428923,"[16, 69, 129, 145, 212, 252, 266, 312, 383, 444, 472, 524, 592, 607, 657, 666, 732, 764, 793, 877, 889, 933, 1025, 1033]",0.09317690682309318,0.17385754042817386,False,False,0.7598064686544034
Retinoic acid_DMSO,-1,0.44148138124473385,"[64, 79, 103, 132, 230, 263, 272, 287, 400, 419, 460, 479, 540, 556, 612, 616, 723, 817, 843, 872, 880, 934, 1001, 1020]",0.000563999436000564,0.0024610884480024612,True,True,2.60887277809356
Risperidone_DMSO,-1,0.2545828465595845,"[15, 78, 152, 165, 215, 246, 269, 318, 392, 435, 487, 515, 539, 577, 605, 659, 718, 741, 759, 820, 895, 925, 951, 1011]",0.21688178311821688,0.25391038023596124,False,False,0.5953195441556237
Tacrine_DMSO,-1,0.260773667740364,"[5, 77, 141, 174, 177, 206, 253, 322, 368, 439, 485, 518, 535, 579, 610, 664, 716, 735, 801, 834, 920, 930, 1013, 1050]",0.1868078131921868,0.235967764032236,False,False,0.627147322704261
Terfenadine_DMSO,-1,0.4113603115602486,"[3, 61, 122, 136, 186, 296, 326, 334, 376, 441, 468, 505, 576, 629, 674, 693, 751, 784, 837, 865, 918, 958, 1018, 1048]",0.001770998229001771,0.00653907038400654,True,True,2.1844839880354394
