Metadata_plate_map_name,Metadata_cell_type,Metadata_batch_id,Metadata_Concentration_mgmL,Metadata_Concentration_ugmL,Metadata_Concentration_mM,Metadata_Concentration_uM,Metadata_Volume_uL,Metadata_Volume_nL,Metadata_Solvent,Metadata_Formula_Weight,Metadata_Molecular_Weight,Metadata_control_type,Metadata_Plate,Metadata_Well,Metadata_Site_Count,Metadata_Count_Cells,Metadata_Count_CellsIncludingEdges,Metadata_Count_Cytoplasm,Metadata_Count_Nuclei,Metadata_Count_NucleiIncludingEdges,Metadata_Object_Count,Metadata_Batch,Metadata_Media,Metadata_OASIS_ID,Metadata_PREFERRED_NAME,Metadata_Compound,Metadata_Treatment,Metadata_reference_index,n_pos_pairs,n_total_pairs,average_precision
BR00147142,U2OS,BRD-A50157456-065-26-9,0.025087,25.087,0.045725,45.725,0.12,120,DMSO,548.65,225.14,,BR00147142,C16,9,2087,2308,2087,2087,2308,2087,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1283,,OASIS1283,OASIS1283_DMSO,-1,23,119,0.24864603265318716
BR00147142,U2OS,BRD-K91188791-001-17-5,0.582,582.0,1.6996,1699.6,0.12,120,DMSO,342.43,342.22,,BR00147142,C17,9,1934,2158,1934,1934,2158,1934,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K91188791-001-17-5,BRD-K91188791-001-17-5_DMSO,-1,11,107,0.5987576060303333
BR00147142,U2OS,BRD-U00146219-001-01-9,,,11.111,11111.0,0.12,120,DMSO,,,,BR00147142,C18,9,1763,1983,1763,1763,1983,1763,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146219-001-01-9,BRD-U00146219-001-01-9_DMSO,-1,23,119,0.15848359520676625
BR00147142,U2OS,BRD-K21728777-001-03-9,0.856,856.0,1.6998,1699.8,0.12,120,DMSO,503.58,503.15,,BR00147142,C19,9,1381,1567,1381,1381,1567,1381,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K21728777-001-03-9,BRD-K21728777-001-03-9_DMSO,-1,11,107,1.0
BR00147142,U2OS,BRD-A06352418-001-30-9,1.7452,1745.2,3.7,3700.0,0.12,120,DMSO,471.69,471.31,,BR00147142,C20,9,1620,1769,1620,1620,1769,1620,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS822,Terfenadine,Terfenadine,Terfenadine_DMSO,-1,23,119,0.6194380910744053
BR00147142,U2OS,BRD-K68867920-051-16-9,3.2707,3270.7,3.7037,3703.7,0.12,120,DMSO,883.09,383.17,,BR00147142,C21,9,1922,2137,1922,1922,2137,1922,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1553,,OASIS1553,OASIS1553_DMSO,-1,23,119,0.23047430706008842
BR00147142,U2OS,BRD-A97104540-004-17-9,0.052712,52.712,0.13717,137.17,0.12,120,DMSO,384.27,303.15,,BR00147142,C22,9,1917,2121,1917,1917,2121,1917,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1010,Fenoterol,Fenoterol,Fenoterol_DMSO,-1,23,119,0.305061063288654
BR00147142,U2OS,BRD-K71879491-001-57-9,0.12364,123.64,0.41152,411.52,0.12,120,DMSO,300.44,300.21,,BR00147142,C23,9,1955,2174,1955,1955,2174,1955,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS140,Retinoic acid,Retinoic acid,Retinoic acid_DMSO,-1,23,119,0.5922600667027873
BR00147142,U2OS,BRD-K51544265-001-13-9,0.20638,206.38,0.41152,411.52,0.12,120,DMSO,501.51,501.17,,BR00147142,C24,9,1962,2195,1962,1962,2195,1962,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1739,Cabozantinib,Cabozantinib,Cabozantinib_DMSO,-1,23,119,0.16819707141517062
BR00147142,U2OS,BRD-A97104540-004-17-9,4.2697,4269.7,11.111,11111.0,0.12,120,DMSO,384.27,303.15,,BR00147142,D01,9,2155,2403,2155,2155,2403,2155,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1010,Fenoterol,Fenoterol,Fenoterol_DMSO,-1,23,119,0.29694660884249796
BR00147142,U2OS,BRD-A99888680-001-08-9,4.7341,4734.1,11.1,11100.0,0.12,120,DMSO,426.49,426.21,,BR00147142,D02,8,1918,2132,1918,1918,2132,1918,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1369,Paliperidone,Paliperidone,Paliperidone_DMSO,-1,23,119,0.2296619549149139
BR00147142,U2OS,BRD-K47278471-003-31-9,0.04003,40.03,0.13717,137.17,0.12,120,DMSO,291.82,255.16,,BR00147142,D03,9,1997,2230,1997,1997,2230,1997,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1006,Diphenhydramine,Diphenhydramine,Diphenhydramine_DMSO,-1,23,119,0.23641295934015472
BR00147142,U2OS,BRD-A97701745-001-20-9,0.91973,919.73,3.7037,3703.7,0.12,120,DMSO,248.33,248.15,,BR00147142,D04,9,1878,2079,1878,1878,2079,1878,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1433,Pindolol,Pindolol,Pindolol_DMSO,-1,23,119,0.3817974724220795
BR00147142,U2OS,BRD-K59632282-001-04-9,0.552,552.0,1.7015,1701.5,0.12,120,DMSO,324.42,324.18,,BR00147142,D05,9,1963,2213,1963,1963,2213,1963,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-K59632282-001-04-9,BRD-K59632282-001-04-9_DMSO,-1,11,107,0.3524107803352611
BR00147142,U2OS,BRD-U00146219-001-01-9,,,3.7037,3703.7,0.12,120,DMSO,,,,BR00147142,D06,9,1912,2107,1912,1912,2107,1912,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146219-001-01-9,BRD-U00146219-001-01-9_DMSO,-1,23,119,0.3562348046714309
BR00147142,U2OS,BRD-U00146220-001-01-9,,,0.13717,137.17,0.12,120,DMSO,,,,BR00147142,D08,9,1918,2133,1918,1918,2133,1918,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146220-001-01-9,BRD-U00146220-001-01-9_DMSO,-1,23,119,0.2311454793147344
BR00147142,U2OS,BRD-U00146221-001-01-9,,,3.7037,3703.7,0.12,120,DMSO,,,,BR00147142,D09,9,1888,2142,1888,1888,2142,1888,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,,,BRD-U00146221-001-01-9,BRD-U00146221-001-01-9_DMSO,-1,23,119,0.4752429957128711
BR00147142,U2OS,BRD-K74514084-001-12-9,4.8565,4856.5,11.1,11100.0,0.12,120,DMSO,437.52,437.16,,BR00147142,D10,9,1903,2104,1903,1903,2104,1903,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1488,Pazopanib,Pazopanib,Pazopanib_DMSO,-1,23,119,0.7830231562989313
BR00147142,U2OS,BRD-K22031190-001-27-9,0.10296,102.96,0.41152,411.52,0.12,120,DMSO,250.2,250.04,,BR00147142,D11,9,2048,2273,2048,2048,2273,2048,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS1097,Diflunisal,Diflunisal,Diflunisal_DMSO,-1,23,119,0.30370299454710475
BR00147142,U2OS,BRD-K82795137-001-31-9,0.052523,52.523,0.13717,137.17,0.12,120,DMSO,382.89,382.14,,BR00147142,D12,9,1990,2230,1990,1990,2230,1990,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS302,Loratadine,Loratadine,Loratadine_DMSO,-1,23,119,0.20369477840899708
BR00147142,U2OS,BRD-K81473089-001-30-9,19.827,19827.0,100.0,100000.0,0.12,120,DMSO,198.27,198.12,,BR00147142,D13,9,366,396,366,366,396,366,2025_04_14_OASIS_U2OS_Industry_Batch1,DMSO,OASIS082,Tacrine,Tacrine,Tacrine_DMSO,-1,23,119,0.44837982986247993
